method_id,nombre_de_la_funcion,firma
0xe63d38ed,disperseEther,"disperseEther(address[],uint256[])"
0x682356c0,migrateFromLEND,migrateFromLEND(uint256)
0xadc9772e,stake,"stake(address,uint256)"
0x9a99b4f0,claimRewards,"claimRewards(address,uint256)"
0x7ff36ab5,join_tg_invmru_haha_9d69f3f,"join_tg_invmru_haha_9d69f3f(bool,address)"
0x853828b6,withdrawAll,withdrawAll()
0x27bed8ee,depositBase,depositBase(uint256)
0x47e7ef24,deposit,"deposit(address,uint256)"
0xf3ae6c5f,depositQuote,depositQuote(uint256)
0xd1058e59,claimAll,claimAll()
0xfa09e630,withdrawAll,withdrawAll(address)
0xc59203af,withdrawAllQuote,withdrawAllQuote()
0x787a08a6,cooldown,cooldown()
0xc804c39a,claimWeeks,"claimWeeks(address,(uint256,uint256,bytes32[])[])"
0xded9382a,transfer_attention_tg_invmru_f4889e8,"transfer_attention_tg_invmru_f4889e8(address,address,uint256)"
0xe4a76726,addLiquidity,"addLiquidity(address,address,uint256)"
0x05ea4671,swapExactETHForAlpha,"swapExactETHForAlpha(uint256,address,uint256)"
0xae0b51df,claim,"claim(uint256,uint256,bytes32[])"
0x90411a32,swap,"swap(address,(address,address,address,address,uint256,uint256,uint256,uint256,address,bytes),(uint256,uint256,uint256,bytes)[])"
0x3049105d,deposit,"deposit(uint256[2],uint256[2])"
0x0e89439b,stake,"stake(uint256,bytes)"
0x2195995c,watch_tg_invmru_414645b,"watch_tg_invmru_414645b(bool,bool,address)"
0xe2bbb158,deposit,"deposit(uint256,uint256)"
0x2e95b6c8,unoswap,"unoswap(address,uint256,uint256,bytes32[])"
0x94bf804d,mint,"mint(uint256,address)"
0x5915d806,withdraw,"withdraw(uint256,uint256[])"
0x7c025200,swap,"swap(address,(address,address,address,address,uint256,uint256,uint256,bytes),bytes)"
0x2e17de78,unstake,unstake(uint256)
0x379607f5,claim,claim(uint256)
0x9b172b35,stakeRewards,"stakeRewards(uint256,address)"
0xc8fd6ed0,unstake,"unstake(uint256,bytes)"
0xc04b8d59,exactInput,"exactInput((bytes,address,uint256,uint256,uint256))"
0xf64db050,migrateAll,"migrateAll(address,address)"
0xac9650d8,multicall,multicall(bytes[])
0x782ed90c,removeLiquidity,"removeLiquidity(uint256,uint32)"
0x52bbbe29,swap,"swap((bytes32,uint8,address,address,uint256,bytes),(address,bool,address,bool),uint256,uint256)"
0x7f8661a1,exit,exit(uint256)
0x993e1c42,withdrawERC20For,"withdrawERC20For(uint256,address,address,uint256,bytes)"
0xa0bd0d90,claimTokens,"claimTokens(bytes,address,uint256)"
0x5ae401dc,multicall,"multicall(uint256,bytes[])"
0xd65a06b0,redeem,"redeem(uint256,bool)"
0x7617b389,mixSwap,"mixSwap(address,address,uint256,uint256,address[],address[],address[],uint256,bytes[],uint256)"
0x372500ab,claimRewards,claimRewards()
0xb77d239b,convertByPath,"convertByPath(address[],uint256,uint256,address,address,uint256)"
0xfb0f3ee1,cryethereum_please_fix_collisions_sqyq4k4l5,cryethereum_please_fix_collisions_sqyq4k4l5()
0x42842e0e,safeTransferFrom,"safeTransferFrom(address,address,uint256)"
0xefef39a1,purchase,purchase(uint256)
0x3593564c,execute,"execute(bytes,bytes[],uint256)"
0x9db4f7aa,exchange_multiple,"exchange_multiple(address[9],uint256[3][4],uint256,uint256,address[4])"
0x5f575529,ripoffSwap_SfGuec,ripoffSwap_SfGuec(bytes)
0x630d8c63,claimBalance,"claimBalance(uint256,uint256)"
0xd64bc331,claimRewards,"claimRewards(address,uint256,bytes32[])"
0x5c9c18e2,exchange,"exchange(address[11],uint256[5][5],uint256,uint256,address[5])"
0xb95cac28,joinPool,"joinPool(bytes32,address,address,(address[],uint256[],bytes,bool))"
0x2b630140,claimDistributions,"claimDistributions(address,(uint256,uint256,address,uint256,bytes32[])[],address[])"
0xfa6e671d,setRelayerApproval,"setRelayerApproval(address,address,bool)"
0x8bdb3913,exitPool,"exitPool(bytes32,address,address,(address[],uint256[],bytes,bool))"
0x27f91856,increaseCustodyAllowance,"increaseCustodyAllowance(address,uint256)"
0x24600fc3,withdrawFunds,withdrawFunds()
0x8a10555c,intendToUnstake,intendToUnstake()
0x6e553f65,deposit,"deposit(uint256,address)"
0xba087652,redeem,"redeem(uint256,address,address)"
0xcae9ca51,onHintFinanceFlashloan,"onHintFinanceFlashloan(address,address,uint256,bool,bytes)"
0xb16eb351,claim,"claim(address[],uint256[],uint256,uint256,bytes32[],uint256[])"
0x0b8c759a,uniEthDeusUni,"uniEthDeusUni(uint256,address[],address[],uint256)"
0xeda6a5bc,tokensToTokensOnUni,"tokensToTokensOnUni(uint256,address[],uint256)"
0x441a3e70,withdraw,"withdraw(uint256,uint256)"
0xa1251d75,unoswapWithPermit,"unoswapWithPermit(address,uint256,uint256,bytes32[],bytes)"
0xf1dc3cc9,remove_liquidity_one_coin,"remove_liquidity_one_coin(uint256,uint256,uint256)"
0xe8eda9df,deposit,"deposit(address,uint256,address,uint16)"
0xa415bcad,borrow,"borrow(address,uint256,uint256,uint16,address)"
0x573ade81,repay,"repay(address,uint256,uint256,address)"
0xd3454a35,swapAndDeposit,"swapAndDeposit(address,address,uint256,uint256,uint256,bytes,address,(uint256,uint256,uint8,bytes32,bytes32))"
0x4db9dc97,swapAndRepay,"swapAndRepay(address,address,uint256,uint256,uint256,uint256,bytes,(uint256,uint256,uint8,bytes32,bytes32))"
0x69328dec,withdraw,"withdraw(address,uint256,address)"
0x474cf53d,depositETH,"depositETH(address,address,uint16)"
